"id","Province","count"
"1","广东省","436"
"2","山东省","263"
"3","江苏省","240"
"4","河南省","227"
"5","浙江省","222"
"6","湖北省","200"
"7","四川省","198"
"8","湖南省","170"
"9","安徽省","146"
"10","陕西省","132"
"11","福建省","123"
"12","河北省","108"
"13","云南省","94"
"14","贵州省","87"
"15","广西壮族自治区","71"
"16","辽宁省","67"
"17","山西省","65"
"18","江西省","49"
"19","吉林省","41"
"20","新疆维吾尔自治区","35"
"21","黑龙江省","35"
"22","海南省","34"
"23","甘肃省","32"
"24","内蒙古自治区","25"
"25","宁夏回族自治区","23"
"26","青海省","8"
"27","台湾省","7"
"28","西藏自治区","4"
