"person","tripmode","count"
"老人","步行","62"
"老人","公交车","53"
"老人","地铁","19"
"老人","汽车","17"
"老人","火车","17"
"老人","电动车","16"
"行人","步行","14"
"老人","自行车","11"
"孩子","步行","9"
"孩子","公交车","8"
"老人","摩托车","6"
"孩子","地铁","6"
"司机","公交车","5"
"行人","汽车","5"
"孩子","自行车","5"
"司机","地铁","4"
"孩子","电动车","4"
"男子","电动车","4"
"男子","步行","4"
"女子","电动车","3"
"女子","步行","3"
"老人","飞机","3"
"司机","火车","3"
"男子","火车","3"
"男子","地铁","3"
"行人","自行车","2"
"孩子","摩托车","2"
"孩子","火车","2"
"儿童","自行车","2"
"男子","自行车","2"
"行人","电动车","2"
"女子","公交车","2"
"儿童","步行","2"
"行人","公交车","2"
"儿童","公交车","2"
"游客","地铁","2"
"司机","飞机","2"
"司机","汽车","1"
"司机","步行","1"
"男子","汽车","1"
"司机","自行车","1"
"游客","汽车","1"
"行人","飞机","1"
"司机","摩托车","1"
"儿童","地铁","1"
"行人","摩托车","1"
"行人","地铁","1"
"行人","火车","1"
"儿童","电动车","1"
"男子","摩托车","1"
