"weather","location","count"
"暴雨","顺河村村民委员会","2"
"暴雨","G25长深高速","2"
"暴雨","盘龙立交","1"
"小雨","辽河","1"
"暴雨","长沙黄花国际机场","1"
"暴雨","俪湖天地","1"
"暴雨","勒泰中心","1"
"暴雨","古城供销","1"
"小雨","凤凰南华门山庄","1"
"晴","来福士购物中心","1"
"暴雨","海宴镇望头村新时代文明实践站","1"
"暴雨","东六环","1"
"暴雨","龙胜管","1"
"暴雨","洱海公园","1"
"小雨","百花小区","1"
"晴","古城供销","1"
"晴","大理古城","1"
"暴雨","解放碑步行街","1"
"小雨","樊记腊汁肉","1"
"暴雨","聊城大学东校区","1"
"暴雨","龙湖重庆时代天街","1"
"暴雨","北京站","1"
"小雨","观音桥","1"
"暴雨","西善桥","1"
"晴","平江路","1"
"暴雨","宜兰县","1"
"小雨","黄果树大厦","1"
"暴雨","洪崖洞民俗风貌区","1"
"暴雨","光谷广场","1"
"小雨","重庆北站","1"
"暴雨","虹桥街道办事处","1"
"小雨","西溪国家湿地公园洪园","1"
"暴雨","中国科学院西双版纳热带植物园(昆明分部)","1"
"暴雨","成都双流国际机场","1"
"暴雨","襄阳刘集机场","1"
"暴雨","经十路与长江东路交叉口","1"
"暴雨","上海商城","1"
"晴","杭州萧山国际机场","1"
"晴","凯德龙之梦","1"
"暴雨","广州白云国际机场","1"
"暴雨","西安咸阳机场大巴(西稍门站)","1"
"小雨","临港路","1"
"暴雨","碧鸡关隧道","1"
"暴雨","人民中路","1"
"暴雨","华山绿地","1"
"晴","上海虹桥国际机场","1"
"暴雨","武汉欢乐谷","1"
"暴雨","东环服务区","1"
"小雨","龙门涧风景区","1"
"暴雨","凤凰沟","1"
"暴雨","小安子(公交站)","1"
"暴雨","寿宁收费站(G4012溧宁高速入口)","1"
"暴雨","G35济广高速","1"
"暴雨","市道路运输管理局(公交站)","1"
"小雨","G30连霍高速","1"
"暴雨","东高村4区","1"
"小雨","G65包茂高速","1"
"暴雨","中山坑","1"
"晴","晴隆服务区","1"
"小雨","盘锦银行(盘山支行)","1"
"暴雨","长沙县黄花镇人民政府","1"
"小雨","西坞岗","1"
"小雨","千灵山","1"
"晴","公园村卫生所","1"
"晴","延安路与解放路交叉口","1"
"暴雨","居然之家(金牛店)","1"
"多云","国贸商城","1"
"小雨","天汉大道","1"
"暴雨","五角场","1"
"晴","神农公园","1"
"晴","青岛路","1"
"暴雨","长安医药","1"
"小雨","胜利路","1"
"小雨","陵城区检察院(公交站)","1"
"晴","鼓岭旅游度假区","1"
"暴雨","中山街","1"
"晴","红门路","1"
"小雨","郭屯(公交站)","1"
"晴","中关村雍和航星科技园","1"
"暴雨","粮道街","1"
"晴","南滩派出所","1"
"小雨","益丰大药房(湘潭岚园路)","1"
"晴","长清大学城商业街","1"
"小雨","鹿寨公园(公交站)","1"
"暴雨","张家港市西张建筑工程有限公司驻苏州办事处","1"
"暴雨","虎山公园","1"
"暴雨","金园路","1"
"暴雨","长安汽车长安欧尚","1"
"暴雨","高时明墓","1"
